Subject No,Tooth ID,Day,Rostral ,Buccal ,Distal,Palatal,Gingivial Recession,Bleeding Assessment,Comments
L,110,0,1,1,1,1,0,2,
L,110,30,1,1,1,1,0,2,
L,110,60,2,2,2,2,0,2,
L,110,90,,,,,,,
L,110,120,,,,,,,
L,110,150,,,,,,,
L,109,0,4,3,3,3,0,2,
L,109,30,4,4,3,3,0,2,
L,109,60,5,4,4,3,0,2,
L,109,90,,,,,,,
L,109,120,,,,,,,
L,109,150,,,,,,,
L,108,0,2,3,4,1,0,2,
L,108,30,2,3,4,1,0,2,
L,108,60,4,3,3,2,0,2,
L,108,90,,,,,,,
L,108,120,,,,,,,
L,108,150,,,,,,,
L,107,0,4,1,3,4,1,2,M3 furcation
L,107,30,4,3,4,4,0,2,M3 furcation
L,107,60,4,3,3,4,0,2,-
L,107,90,,,,,,,
L,107,120,,,,,,,
L,107,150,,,,,,,
L,106,0,2,2,3,3,1,2,M3 furcation
L,106,30,4,4,3,4,1,2,M3 furcation
L,106,60,4,4,4,5,1,2,M3 furcation
L,106,90,,,,,,,
L,106,120,,,,,,,
L,106,150,,,,,,,
L,105,0,2,1,2,1,0,2,
L,105,30,3,3,4,3,0,2,
L,105,60,4,4,4,4,0,2,
L,105,90,,,,,,,
L,105,120,,,,,,,
L,105,150,,,,,,,
L,104,0,3,4,4,4,1,2,
L,104,30,3,4,4,4,1,2,
L,104,60,5,4,5,5,0,2,
L,104,90,,,,,,,
L,104,120,,,,,,,
L,104,150,,,,,,,
L,103,0,3,2,3,3,0,2,
L,103,30,4,3,3,4,0,2,
L,103,60,4,4,4,4,0,2,
L,103,90,,,,,,,
L,103,120,,,,,,,
L,103,150,,,,,,,
L,102,0,2,3,4,4,0,2,
L,102,30,3,3,4,4,0,2,
L,102,60,4,3,5,4,0,2,
L,102,90,,,,,,,
L,102,120,,,,,,,
L,102,150,,,,,,,
L,101,0,4,3,4,4,0,2,
L,101,30,5,4,4,4,1,2,
L,101,60,5,4,5,4,0,2,
L,101,90,,,,,,,
L,101,120,,,,,,,
L,101,150,,,,,,,
L,201,0,4,3,4,3,1,2,
L,201,30,4,3,4,4,1,2,
L,201,60,5,4,4,4,1,2,
L,201,90,,,,,,,
L,201,120,,,,,,,
L,201,150,,,,,,,
L,202,0,5,1,5,3,1,2,
L,202,30,5,4,4,3,1,2,
L,202,60,5,4,4,4,1,2,
L,202,90,,,,,,,
L,202,120,,,,,,,
L,202,150,,,,,,,
L,203,0,4,3,3,2,0,2,
L,203,30,4,4,4,3,0,2,
L,203,60,5,4,5,4,0,2,
L,203,90,,,,,,,
L,203,120,,,,,,,
L,203,150,,,,,,,
L,204,0,4,4,4,5,1,2,
L,204,30,5,5,4,5,1,2,
L,204,60,5,5,5,6,1,2,
L,204,90,,,,,,,
L,204,120,,,,,,,
L,204,150,,,,,,,
L,205,0,3,1,2,3,0,2,
L,205,30,4,2,4,3,0,2,
L,205,60,4,2,4,3,0,2,
L,205,90,,,,,,,
L,205,120,,,,,,,
L,205,150,,,,,,,
L,206,0,3,3,4,4,1,2,M3 furcation
L,206,30,4,4,4,4,1,2,M3 furcation
L,206,60,4,4,4,4,1,2,M3 furcation
L,206,90,,,,,,,
L,206,120,,,,,,,
L,206,150,,,,,,,
L,207,0,3,2,2,2,1,2,M3 furcation
L,207,30,4,3,3,4,1,2,M3 furcation
L,207,60,4,4,3,4,0,2,M3 furcation
L,207,90,,,,,,,
L,207,120,,,,,,,
L,207,150,,,,,,,
L,208,0,3,3,4,2,0,2,
L,208,30,3,4,4,3,0,2,
L,208,60,3,4,4,3,0,2,
L,208,90,,,,,,,
L,208,120,,,,,,,
L,208,150,,,,,,,
L,209,0,3,3,2,4,0,2,
L,209,30,4,4,3,4,0,2,
L,209,60,4,4,4,4,0,2,
L,209,90,,,,,,,
L,209,120,,,,,,,
L,209,150,,,,,,,
L,210,0,1,1,1,1,0,2,
L,210,30,2,2,2,2,0,2,
L,210,60,2,2,2,2,0,2,
L,210,90,,,,,,,
L,210,120,,,,,,,
L,210,150,,,,,,,
L,411,0,1,1,1,1,0,1,
L,411,30,2,2,2,2,0,2,
L,411,60,2,2,2,2,0,0,
L,411,90,,,,,,,
L,411,120,,,,,,,
L,411,150,,,,,,,
L,410,0,1,2,2,1,0,2,
L,410,30,3,2,2,1,0,2,
L,410,60,4,2,2,1,0,2,
L,410,90,,,,,,,
L,410,120,,,,,,,
L,410,150,,,,,,,
L,409,0,4,3,3,1,0,2,
L,409,30,4,3,3,2,0,2,
L,409,60,5,2,4,2,0,2,
L,409,90,,,,,,,
L,409,120,,,,,,,
L,409,150,,,,,,,
L,408,0,2,4,4,2,0,2,
L,408,30,2,5,4,3,0,2,
L,408,60,2,5,4,3,0,2,
L,408,90,,,,,,,
L,408,120,,,,,,,
L,408,150,,,,,,,
L,407,0,2,1,2,2,0,2,
L,407,30,3,2,3,4,0,2,
L,407,60,3,3,3,4,0,2,
L,407,90,,,,,,,
L,407,120,,,,,,,
L,407,150,,,,,,,
L,406,0,3,3,3,2,0,2,
L,406,30,4,3,3,3,0,2,
L,406,60,4,3,4,3,0,2,
L,406,90,,,,,,,
L,406,120,,,,,,,
L,406,150,,,,,,,
L,405,0,3,3,3,2,0,2,
L,405,30,4,3,4,3,0,2,
L,405,60,4,3,4,4,0,2,
L,405,90,,,,,,,
L,405,120,,,,,,,
L,405,150,,,,,,,
L,404,0,5,4,4,4,0,2,
L,404,30,5,4,4,6,0,2,
L,404,60,6,4,4,6,0,2,
L,404,90,,,,,,,
L,404,120,,,,,,,
L,404,150,,,,,,,
L,403,0,3,3,5,4,1,2,
L,403,30,4,4,4,9,1,2,
L,403,60,4,4,4,9,1,2,
L,403,90,,,,,,,
L,403,120,,,,,,,
L,403,150,,,,,,,
L,402,0,4,1,4,3,0,2,
L,402,30,4,2,4,4,0,2,
L,402,60,4,2,4,4,0,2,
L,402,90,,,,,,,
L,402,120,,,,,,,
L,402,150,,,,,,,
L,401,0,5,5,5,1,1,2,M2 mobility
L,401,30,6,6,6,4,1,2,M1 mobility
L,401,60,6,6,6,5,1,2,M2 mobility
L,401,90,,,,,,,
L,401,120,,,,,,,
L,401,150,,,,,,,
L,301,0,5,4,5,4,1,2,M2 mobility
L,301,30,5,5,5,5,2,2,M3 mobility
L,301,60,5,5,5,5,2,1,M2 mobility
L,301,90,,,,,,,
L,301,120,,,,,,,
L,301,150,,,,,,,
L,302,0,4,1,2,4,0,2,
L,302,30,4,2,4,4,0,2,
L,302,60,4,2,4,4,0,0,
L,302,90,,,,,,,
L,302,120,,,,,,,
L,302,150,,,,,,,
L,303,0,4,3,4,4,0,2,
L,303,30,4,4,5,4,0,2,
L,303,60,4,4,5,4,0,2,
L,303,90,,,,,,,
L,303,120,,,,,,,
L,303,150,,,,,,,
L,304,0,5,3,4,4,0,2,
L,304,30,5,4,4,4,0,2,
L,304,60,5,4,4,5,0,2,
L,304,90,,,,,,,
L,304,120,,,,,,,
L,304,150,,,,,,,
L,305,0,2,1,1,1,0,2,
L,305,30,3,3,2,2,0,2,
L,305,60,3,3,3,2,0,2,
L,305,90,,,,,,,
L,305,120,,,,,,,
L,305,150,,,,,,,
L,306,0,2,2,2,2,0,2,
L,306,30,4,2,2,3,0,2,
L,306,60,4,3,3,4,0,2,
L,306,90,,,,,,,
L,306,120,,,,,,,
L,306,150,,,,,,,
L,307,0,3,2,3,5,0,2,
L,307,30,3,2,4,4,0,2,
L,307,60,3,2,4,4,0,2,
L,307,90,,,,,,,
L,37,120,,,,,,,
L,307,150,,,,,,,
L,308,0,3,3,4,3,0,2,
L,308,30,3,4,5,4,0,2,
L,308,60,3,4,6,4,0,2,
L,308,90,,,,,,,
L,308,120,,,,,,,
L,308,150,,,,,,,
L,309,0,3,1,3,1,0,2,
L,309,30,4,2,4,1,0,2,
L,309,60,4,2,4,1,0,2,
L,309,90,,,,,,,
L,309,120,,,,,,,
L,309,150,,,,,,,
L,310,0,1,1,1,1,0,2,
L,310,30,1,1,1,1,0,2,
L,310,60,1,1,1,1,0,2,
L,310,90,,,,,,,
L,310,120,,,,,,,
L,310,150,,,,,,,
L,311,0,2,2,1,2,0,2,-
L,311,30,4,2,2,2,0,2,M2 mobility
L,311,60,4,2,2,4,0,2,M2 mobility
L,311,90,,,,,,,
L,311,120,,,,,,,
L,311,150,,,,,,,
