Subject No,Tooth ID,Day,Rostral ,Buccal ,Distal,Palatal,Gingivial Recession,Bleeding Assessment,Comments
M,110,0,1,1,1,1,0,2,
M,110,30,1,1,1,1,0,2,
M,110,60,1,1,1,1,0,2,
M,110,90,,,,,,,
M,110,120,,,,,,,
M,110,150,,,,,,,
M,109,0,1,3,3,2,0,2,
M,109,30,2,3,3,2,0,2,
M,109,60,3,3,3,2,0,2,
M,109,90,,,,,,,
M,109,120,,,,,,,
M,109,150,,,,,,,
M,108,0,3,2,2,3,0,2,
M,108,30,3,3,3,3,0,2,
M,108,60,4,3,3,3,0,2,
M,108,90,,,,,,,
M,108,120,,,,,,,
M,108,150,,,,,,,
M,107,0,2,1,2,1,0,2,
M,107,30,3,1,2,2,0,2,
M,107,60,3,1,2,2,0,2,
M,107,90,,,,,,,
M,107,120,,,,,,,
M,107,150,,,,,,,
M,106,0,1,1,1,1,0,2,
M,106,30,3,1,2,1,0,2,
M,106,60,3,1,2,1,0,2,
M,106,90,,,,,,,
M,106,120,,,,,,,
M,106,150,,,,,,,
M,105,0,1,1,2,1,0,2,
M,105,30,1,2,3,2,0,2,
M,105,60,2,2,3,2,0,2,
M,105,90,,,,,,,
M,105,120,,,,,,,
M,105,150,,,,,,,
M,104,0,3,3,2,1,0,2,
M,104,30,4,3,3,2,0,2,
M,104,60,4,3,3,3,0,2,
M,104,90,,,,,,,
M,104,120,,,,,,,
M,104,150,,,,,,,
M,103,0,2,1,1,2,0,2,
M,103,30,2,1,1,1,0,2,
M,103,60,1,1,1,1,0,2,
M,103,90,,,,,,,
M,103,120,,,,,,,
M,103,150,,,,,,,
M,102,0,1,1,1,1,0,2,
M,102,30,2,1,2,1,0,2,
M,102,60,2,1,2,2,0,2,
M,102,90,,,,,,,
M,102,120,,,,,,,
M,102,150,,,,,,,
M,101,0,2,1,2,1,0,2,
M,101,30,2,1,2,1,0,2,
M,101,60,3,1,3,1,0,2,
M,101,90,,,,,,,
M,101,120,,,,,,,
M,101,150,,,,,,,
M,201,0,1,1,1,1,0,2,
M,201,30,1,1,2,2,0,0,
M,201,60,1,1,2,2,0,2,
M,201,90,,,,,,,
M,201,120,,,,,,,
M,201,150,,,,,,,
M,202,0,1,1,1,1,0,2,
M,202,30,2,1,2,1,0,2,
M,202,60,2,1,2,1,0,2,
M,202,90,,,,,,,
M,202,120,,,,,,,
M,202,150,,,,,,,
M,203,0,1,1,1,1,0,2,
M,203,30,3,1,2,1,0,2,
M,203,60,3,1,2,1,0,0,
M,203,90,,,,,,,
M,203,120,,,,,,,
M,203,150,,,,,,,
M,204,0,4,3,2,1,0,2,
M,204,30,4,4,3,2,0,2,
M,204,60,4,4,4,2,0,2,
M,204,90,,,,,,,
M,204,120,,,,,,,
M,204,150,,,,,,,
M,205,0,1,1,1,1,0,2,
M,205,30,1,1,1,2,0,2,
M,205,60,1,1,2,2,0,2,
M,205,90,,,,,,,
M,205,120,,,,,,,
M,205,150,,,,,,,
M,206,0,2,1,2,1,0,2,
M,206,30,3,1,2,2,0,2,
M,206,60,3,1,2,2,0,2,
M,206,90,,,,,,,
M,206,120,,,,,,,
M,206,150,,,,,,,
M,207,0,3,1,3,1,0,2,
M,207,30,4,1,4,2,1,2,
M,207,60,4,1,4,2,0,2,
M,207,90,,,,,,,
M,207,120,,,,,,,
M,207,150,,,,,,,
M,208,0,3,3,3,1,1,2,
M,208,30,4,4,3,1,1,2,
M,208,60,4,4,3,1,1,2,
M,208,90,,,,,,,
M,208,120,,,,,,,
M,208,150,,,,,,,
M,209,0,1,2,2,1,0,2,
M,209,30,2,3,2,2,0,2,
M,209,60,2,3,2,2,0,2,
M,209,90,,,,,,,
M,209,120,,,,,,,
M,209,150,,,,,,,
M,210,0,1,1,1,1,0,2,
M,210,30,1,1,1,1,0,0,
M,210,60,2,2,2,2,0,2,
M,210,90,,,,,,,
M,210,120,,,,,,,
M,210,150,,,,,,,
M,411,0,1,1,1,1,0,2,
M,411,30,1,2,2,2,0,2,
M,411,60,2,2,2,2,0,0,
M,411,90,,,,,,,
M,411,120,,,,,,,
M,411,150,,,,,,,
M,410,0,1,3,2,1,0,2,
M,410,30,2,3,3,1,0,2,
M,410,60,3,4,3,2,0,2,
M,410,90,,,,,,,
M,410,120,,,,,,,
M,410,150,,,,,,,
M,409,0,2,2,3,1,0,2,
M,409,30,3,2,3,2,0,2,
M,409,60,4,3,3,2,0,2,
M,409,90,,,,,,,
M,409,120,,,,,,,
M,409,150,,,,,,,
M,408,0,1,1,1,1,0,2,
M,408,30,1,1,3,2,0,1,
M,408,60,1,4,3,3,0,2,
M,408,90,,,,,,,
M,408,120,,,,,,,
M,408,150,,,,,,,
M,407,0,1,1,2,1,0,2,
M,407,30,1,1,2,1,0,0,
M,407,60,1,1,3,1,0,1,
M,407,90,,,,,,,
M,407,120,,,,,,,
M,407,150,,,,,,,
M,406,0,1,1,1,1,0,1,
M,406,30,1,1,3,1,0,2,
M,406,60,1,1,3,1,0,1,
M,406,90,,,,,,,
M,406,120,,,,,,,
M,406,150,,,,,,,
M,405,0,1,2,1,1,0,2,
M,405,30,1,2,2,2,0,2,
M,405,60,1,2,2,2,0,0,
M,405,90,,,,,,,
M,405,120,,,,,,,
M,405,150,,,,,,,
M,404,0,3,1,1,2,0,2,
M,404,30,4,3,3,3,0,2,
M,404,60,4,3,4,4,0,0,
M,404,90,,,,,,,
M,404,120,,,,,,,
M,404,150,,,,,,,
M,403,0,3,1,3,1,0,2,
M,403,30,4,1,4,2,0,2,
M,403,60,4,1,5,4,0,2,
M,403,90,,,,,,,
M,403,120,,,,,,,
M,403,150,,,,,,,
M,402,0,2,1,3,1,0,2,
M,402,30,3,2,3,1,0,2,
M,402,60,3,2,3,2,0,2,
M,402,90,,,,,,,
