Subject No,Tooth ID,Day,Rostral ,Buccal ,Distal,Palatal,Gingivial Recession,Bleeding Assessment,Comments
N,110,0,1,1,1,1,0,2,
N,110,30,1,1,1,1,0,0,
N,110,60,1,1,1,1,0,0,
N,110,90,,,,,,,
N,110,120,,,,,,,
N,110,150,,,,,,,
N,109,0,2,2,2,3,1,2,
N,109,30,3,2,3,4,1,2,
N,109,60,3,3,3,4,1,2,
N,109,90,,,,,,,
N,109,120,,,,,,,
N,109,150,,,,,,,
N,108,0,3,5,2,3,0,2,
N,108,30,3,6,3,3,0,2,
N,108,60,3,6,3,4,0,2,
N,108,90,,,,,,,
N,108,120,,,,,,,
N,108,150,,,,,,,
N,107,0,2,1,1,1,0,2,
N,107,30,2,1,3,2,0,2,
N,107,60,2,1,3,2,0,2,
N,107,90,,,,,,,
N,107,120,,,,,,,
N,107,150,,,,,,,
N,106,0,1,1,1,1,0,2,
N,106,30,2,1,1,2,0,2,
N,106,60,2,1,1,2,0,2,
N,106,90,,,,,,,
N,106,120,,,,,,,
N,106,150,,,,,,,
N,105,0,1,1,1,1,0,2,
N,105,30,1,1,2,1,0,2,
N,105,60,1,1,2,2,0,2,
N,105,90,,,,,,,
N,105,120,,,,,,,
N,105,150,,,,,,,
N,104,0,3,1,1,1,0,2,
N,104,30,4,2,1,2,0,2,
N,104,60,4,2,1,2,0,2,
N,104,90,,,,,,,
N,104,120,,,,,,,
N,104,150,,,,,,,
N,103,0,1,1,1,1,0,2,
N,103,30,2,1,2,1,0,2,
N,103,60,3,1,2,2,0,2,
N,103,90,,,,,,,
N,103,120,,,,,,,
N,103,150,,,,,,,
N,102,0,1,1,1,1,0,2,
N,102,30,2,1,1,1,0,2,
N,102,60,2,1,1,1,0,2,
N,102,90,,,,,,,
N,102,120,,,,,,,
N,102,150,,,,,,,
N,101,0,1,1,2,1,1,2,
N,101,30,5,3,2,2,1,2,
N,101,60,6,5,3,3,0,2,
N,101,90,,,,,,,
N,101,120,,,,,,,
N,101,150,,,,,,,
N,201,0,1,1,1,1,0,2,
N,201,30,3,1,1,1,0,2,
N,201,60,3,1,1,1,0,2,
N,201,90,,,,,,,
N,201,120,,,,,,,
N,201,150,,,,,,,
N,202,0,1,1,1,1,0,2,
N,202,30,2,1,1,1,0,2,
N,202,60,3,1,3,3,0,2,
N,202,90,,,,,,,
N,202,120,,,,,,,
N,202,150,,,,,,,
N,203,0,1,1,1,1,0,2,
N,203,30,2,1,1,2,0,2,
N,203,60,3,1,1,2,0,2,
N,203,90,,,,,,,
N,203,120,,,,,,,
N,203,150,,,,,,,
N,204,0,3,2,3,3,0,2,
N,204,30,3,2,3,3,0,2,
N,204,60,4,3,3,3,0,2,
N,204,90,,,,,,,
N,204,120,,,,,,,
N,204,150,,,,,,,
N,205,0,2,2,2,2,0,2,
N,205,30,1,1,1,1,0,2,
N,205,60,1,1,1,1,0,2,
N,205,90,,,,,,,
N,205,120,,,,,,,
N,205,150,,,,,,,
N,206,0,3,1,1,1,0,2,
N,206,30,3,2,2,3,0,2,
N,206,60,3,2,2,3,0,2,
N,206,90,,,,,,,
N,206,120,,,,,,,
N,206,150,,,,,,,
N,207,0,1,1,1,1,0,2,
N,207,30,2,1,1,2,0,2,
N,207,60,2,1,2,3,0,2,
N,207,90,,,,,,,
N,207,120,,,,,,,
N,207,150,,,,,,,
N,208,0,1,4,1,2,0,2,
N,208,30,1,4,3,2,0,2,
N,208,60,3,4,3,3,0,2,
N,208,90,,,,,,,
N,208,120,,,,,,,
N,208,150,,,,,,,
N,209,0,3,3,2,1,0,2,
N,209,30,3,3,3,2,0,2,
N,209,60,4,3,3,3,0,2,
N,209,90,,,,,,,
N,209,120,,,,,,,
N,209,150,,,,,,,
N,210,0,2,2,1,1,0,2,
N,210,30,1,1,2,2,0,2,
N,210,60,2,2,2,2,0,2,
N,210,90,,,,,,,
N,210,120,,,,,,,
N,210,150,,,,,,,
N,411,0,1,1,1,1,0,2,M1 mobility
N,411,30,2,1,1,1,0,2,M1 Mobility
N,411,60,2,2,1,2,0,2,M1 mobility
N,411,90,,,,,,,
N,411,120,,,,,,,
N,411,150,,,,,,,
N,410,0,1,2,2,1,0,2,
N,410,30,2,2,2,2,0,2,
N,410,60,2,2,2,2,0,2,
N,410,90,,,,,,,
N,410,120,,,,,,,
N,410,150,,,,,,,
N,409,0,2,1,2,1,0,2,
N,409,30,3,2,3,1,0,2,
N,409,60,3,3,3,2,0,2,
N,409,90,,,,,,,
N,409,120,,,,,,,
N,409,150,,,,,,,
N,408,0,3,1,4,4,0,2,
N,408,30,3,2,5,4,0,2,
N,408,60,3,2,5,4,0,2,
N,408,90,,,,,,,
N,408,120,,,,,,,
N,408,150,,,,,,,
N,407,0,1,4,2,4,1,2,-
N,407,30,1,4,3,4,1,2,M3 Furcation
N,407,60,1,4,3,5,1,2,M3 furcation
N,407,90,,,,,,,
N,407,120,,,,,,,
N,407,150,,,,,,,
N,406,0,2,1,2,1,0,2,
N,406,30,2,1,1,1,0,2,
N,406,60,2,1,1,2,0,2,
N,406,90,,,,,,,
N,406,120,,,,,,,
N,406,150,,,,,,,
N,405,0,1,1,2,1,0,2,
N,405,30,3,2,3,1,0,0,
N,405,60,3,3,3,3,0,2,
N,405,90,,,,,,,
N,405,120,,,,,,,
N,405,150,,,,,,,
N,404,0,2,2,1,2,0,2,
N,404,30,2,2,2,4,0,2,
N,404,60,3,3,3,4,0,2,
N,404,90,,,,,,,
N,404,120,,,,,,,
N,404,150,,,,,,,
N,403,0,1,1,2,4,0,2,
N,403,30,1,1,3,4,0,2,
N,403,60,2,1,3,4,0,2,
N,403,90,,,,,,,
N,403,120,,,,,,,
N,403,150,,,,,,,
N,402,0,2,1,2,2,0,2,
N,402,30,2,1,3,2,0,2,
N,402,60,3,1,3,2,0,2,
