Subject No,Tooth ID,Day,Rostral ,Buccal ,Distal,Palatal,Gingivial Recession,Bleeding Assessment,Comments
J,110,0,1,1,1,1,0,0,
J,110,30,1,1,1,1,0,2,
J,110,60,1,1,1,1,0,2,
J,110,90,,,,,,,
J,110,120,,,,,,,
J,110,150,,,,,,,
J,109,0,2,2,2,3,0,2,
J,109,30,3,3,2,2,1,2,
J,109,60,3,3,3,4,0,2,
J,109,90,,,,,,,
J,109,120,,,,,,,
J,109,150,,,,,,,
J,108,0,3,2,2,2,0,2,
J,108,30,3,3,3,3,0,2,
J,108,60,3,3,2,3,0,2,
J,108,90,,,,,,,
J,108,120,,,,,,,
J,108,150,,,,,,,
J,107,0,3,2,2,2,0,2,
J,107,30,3,3,3,3,0,2,
J,107,60,3,3,2,3,0,2,
J,107,90,,,,,,,
J,107,120,,,,,,,
J,107,150,,,,,,,
J,106,0,3,2,2,2,0,2,
J,106,30,3,3,3,3,0,2,
J,106,60,3,3,2,3,0,2,
J,106,90,,,,,,,
J,106,120,,,,,,,
J,106,150,,,,,,,
J,105,0,2,2,2,2,0,2,
J,105,30,2,1,2,2,0,2,
J,105,60,1,1,2,1,0,2,
J,105,90,,,,,,,
J,105,120,,,,,,,
J,105,150,,,,,,,
J,104,0,4,3,4,3,0,2,
J,104,30,4,2,2,3,0,2,
J,104,60,4,2,2,2,0,2,
J,104,90,,,,,,,
J,104,120,,,,,,,
J,104,150,,,,,,,
J,103,0,4,2,1,2,0,2,
J,103,30,3,1,1,2,0,2,
J,103,60,3,1,1,1,0,2,
J,103,90,,,,,,,
J,103,120,,,,,,,
J,103,150,,,,,,,
J,102,0,3,1,4,2,0,2,
J,102,30,1,1,3,2,0,2,
J,102,60,1,1,1,2,0,2,
J,102,90,,,,,,,
J,102,120,,,,,,,
J,102,150,,,,,,,
J,101,0,3,2,2,3,0,2,
J,101,30,3,1,2,2,0,1,
J,101,60,1,1,1,2,0,2,
J,101,90,,,,,,,
J,101,120,,,,,,,
J,101,150,,,,,,,
J,201,0,3,3,3,3,0,2,
J,201,30,2,1,1,2,0,2,
J,201,60,2,1,1,2,0,2,
J,201,90,,,,,,,
J,201,120,,,,,,,
J,201,150,,,,,,,
J,202,0,4,2,2,2,0,2,
J,202,30,3,1,1,1,0,2,
J,202,60,2,1,1,1,0,2,
J,202,90,,,,,,,
J,202,120,,,,,,,
J,202,150,,,,,,,
J,203,0,4,2,1,3,0,2,
J,203,30,3,1,1,2,0,2,
J,203,60,2,1,1,2,0,2,
J,203,90,,,,,,,
J,203,120,,,,,,,
J,203,150,,,,,,,
J,204,0,4,4,4,3,0,2,
J,204,30,4,2,4,3,0,1,
J,204,60,4,2,4,3,0,2,
J,204,90,,,,,,,
J,204,120,,,,,,,
J,204,150,,,,,,,
J,205,0,2,1,2,1,0,2,
J,205,30,1,1,1,1,0,2,
J,205,60,1,1,1,1,0,2,
J,205,90,,,,,,,
J,205,120,,,,,,,
J,205,150,,,,,,,
J,206,0,2,1,2,2,0,2,
J,206,30,1,1,2,1,0,2,
J,206,60,1,1,1,1,0,2,
J,206,90,,,,,,,
J,206,120,,,,,,,
J,206,150,,,,,,,
J,207,0,3,1,3,3,0,2,
J,207,30,3,1,2,2,0,2,
J,207,60,3,1,2,2,0,2,
