subject_no,tooth_ID,day,rostral,buccal,distal,palatal,gingivial_recession,bleeding_assessment
5,110,0,1,1,1,1,0,0
5,110,30,1,1,1,1,0,2
5,110,60,1,1,1,1,0,2
5,109,0,2,2,2,3,0,2
5,109,30,3,3,2,2,1,2
5,109,60,3,3,3,4,0,2
5,108,0,3,2,2,2,0,2
5,108,30,3,3,3,3,0,2
5,108,60,3,3,2,3,0,2
5,107,0,3,2,2,2,0,2
5,107,30,3,3,3,3,0,2
5,107,60,3,3,2,3,0,2
5,106,0,3,2,2,2,0,2
5,106,30,3,3,3,3,0,2
5,106,60,3,3,2,3,0,2
5,105,0,3,1,1,3,0,2
5,105,30,3,2,2,3,0,2
5,105,60,3,1,3,4,0,2
5,104,0,4,1,2,1,0,2
5,104,30,4,1,2,1,0,2
5,104,60,4,1,2,1,0,2
5,103,0,3,2,1,2,0,2
5,103,30,3,2,1,2,0,2
5,103,60,2,1,1,2,0,2
5,102,0,1,1,4,2,0,2
5,102,30,1,1,3,1,0,2
5,102,60,1,1,2,1,0,2
5,101,0,1,1,3,2,0,2
5,101,30,1,1,2,2,0,2
5,101,60,1,1,2,2,0,2
5,201,0,2,1,2,1,0,2
5,201,30,2,1,2,1,0,2
5,201,60,2,1,2,1,0,2
5,202,0,2,1,2,2,0,2
5,202,30,2,1,2,2,0,2
5,202,60,2,1,1,2,0,2
5,203,0,3,1,1,2,0,2
5,203,30,3,1,1,1,0,2
5,203,60,3,1,1,2,0,2
5,204,0,4,2,4,3,0,2
5,204,30,4,2,3,2,0,2
5,204,60,3,2,3,2,0,2
5,205,0,3,3,4,5,0,2
5,205,30,3,3,4,4,0,2
5,205,60,3,3,4,4,0,2
5,206,0,3,4,3,4,0,2
5,206,30,2,3,2,4,0,2
5,206,60,2,3,2,4,0,2
5,207,0,4,1,3,3,0,2
5,207,30,4,1,3,3,0,2
5,207,60,4,1,3,3,0,2
5,208,0,5,2,3,4,0,2
5,208,30,4,3,3,4,0,2
5,208,60,4,3,2,4,0,2
5,209,0,3,4,4,3,0,2
5,209,30,3,4,4,4,0,2
5,209,60,3,4,3,3,0,2
5,210,0,2,2,2,2,0,2
5,210,30,1,1,1,1,0,2
5,210,60,1,1,1,1,0,2
5,411,0,1,1,1,1,0,0
5,411,30,1,1,1,1,0,0
5,411,60,1,1,1,1,0,0
5,410,0,1,3,3,1,0,1
5,410,30,1,2,3,1,0,0
5,410,60,1,2,2,1,0,2
5,409,0,3,4,3,3,0,2
5,409,30,3,3,3,2,0,2
5,409,60,2,2,3,2,0,2
5,408,0,2,2,4,3,0,2
5,408,30,1,1,4,3,0,2
5,408,60,1,1,3,2,0,2
5,407,0,1,1,3,1,0,2
5,407,30,1,1,3,1,0,2
5,407,60,1,1,2,1,0,2
5,406,0,3,1,2,2,0,2
5,406,30,3,1,1,1,0,2
5,406,60,2,1,1,1,0,2
5,405,0,2,1,3,3,0,0
5,405,30,1,1,3,3,0,2
5,405,60,1,1,2,2,0,2
5,404,0,4,3,3,3,0,2
5,404,30,2,3,3,2,0,2
5,404,60,2,2,3,2,0,2
5,403,0,4,1,3,3,0,2
5,403,30,4,1,2,3,0,2
5,403,60,4,1,2,2,0,2
5,402,0,3,2,2,3,0,0
5,402,30,3,1,2,2,0,2
5,402,60,2,1,2,2,0,2
5,401,0,4,1,3,2,0,0
5,401,30,3,1,1,2,0,2
5,401,60,1,1,1,2,0,2
5,301,0,5,4,5,6,1,2
5,301,30,5,4,5,5,1,0
5,301,60,5,4,5,3,0,2
5,302,0,3,1,3,2,0,2
5,302,30,3,1,3,2,0,2
5,302,60,3,1,2,2,0,2
5,303,0,3,4,5,4,0,2
5,303,30,3,4,4,3,0,2
5,303,60,3,4,3,3,0,2
5,304,0,3,3,3,3,0,2
5,304,30,3,3,3,3,0,2
5,304,60,3,3,3,3,0,0
5,305,0,1,1,3,3,0,0
5,305,30,1,1,2,3,0,2
5,305,60,1,1,2,2,0,0
5,306,0,1,1,1,1,0,2
5,306,30,1,1,1,3,0,2
5,306,60,1,1,1,2,0,2
5,307,0,1,1,3,1,0,2
5,307,30,1,1,3,1,0,2
5,307,60,1,1,2,1,0,2
5,308,0,2,2,4,2,0,2
5,308,30,2,2,4,1,0,2
5,308,60,1,2,3,1,0,2
5,309,0,3,2,2,1,0,2
5,309,30,3,2,2,1,0,2
5,309,60,3,2,2,1,0,2
5,310,0,1,2,2,2,0,1
5,310,30,1,2,2,2,0,2
5,310,60,1,1,1,1,0,2
5,311,0,1,1,1,1,0,1
5,311,30,1,1,1,1,0,0
5,311,60,1,1,2,1,0,0
