subject_no,tooth_ID,day,rostral,buccal,distal,palatal,gingivial_recession,bleeding_assessment
7,110,0,1,1,1,1,0,2
7,110,30,1,1,1,1,0,2
7,110,60,2,2,2,1,0,2
7,109,0,3,2,2,3,0,2
7,109,30,3,2,2,2,0,2
7,109,60,3,2,1,1,0,2
7,108,0,3,3,4,1,0,2
7,108,30,3,2,3,1,0,2
7,108,60,3,1,2,1,0,2
7,107,0,3,1,4,2,0,2
7,107,30,3,1,3,1,0,2
7,107,60,3,1,3,1,0,2
7,106,0,2,1,2,3,0,2
7,106,30,1,1,1,3,0,2
7,106,60,1,1,1,1,0,2
7,105,0,1,1,1,3,0,2
7,105,30,1,1,1,2,0,2
7,105,60,1,1,1,1,0,2
7,104,0,3,3,3,1,0,2
7,104,30,3,2,2,1,0,2
7,104,60,3,2,2,1,0,2
7,103,0,4,1,2,2,0,2
7,103,30,2,1,2,1,0,2
7,103,60,2,1,1,1,0,2
7,102,0,3,1,3,3,0,2
7,102,30,3,1,3,3,0,2
7,102,60,1,1,2,2,0,2
7,101,0,4,1,2,3,0,2
7,101,30,3,1,1,3,0,2
7,101,60,2,1,1,2,0,2
7,201,0,3,1,3,3,0,2
7,201,30,3,1,2,1,0,2
7,201,60,2,1,1,1,0,2
7,202,0,3,1,3,3,0,2
7,202,30,3,1,3,3,0,2
7,202,60,2,1,2,1,0,2
7,203,0,4,1,1,1,0,2
7,203,30,3,1,1,1,0,2
7,203,60,5,4,2,2,0,2
7,204,0,4,4,4,3,0,2
7,204,30,4,3,4,2,0,2
7,204,60,3,3,2,1,0,2
7,205,0,1,2,3,2,0,2
7,205,30,1,1,1,2,0,2
7,205,60,1,1,1,2,0,2
7,206,0,2,1,3,3,0,2
7,206,30,2,1,2,2,0,2
7,206,60,2,1,1,2,0,2
7,207,0,3,1,3,2,0,2
7,207,30,3,1,3,2,0,2
7,207,60,2,1,2,1,0,2
7,208,0,3,3,2,1,0,2
7,208,30,2,2,1,1,0,2
7,208,60,1,1,1,1,0,2
7,209,0,3,3,2,3,0,2
7,209,30,2,2,2,3,0,2
7,209,60,2,2,2,3,0,2
7,210,0,1,1,1,1,0,2
7,210,30,1,1,1,1,0,0
7,210,60,1,1,1,1,0,0
7,411,0,1,1,1,1,0,1
7,411,30,1,1,1,1,0,0
7,411,60,1,1,1,1,0,1
7,410,0,2,2,1,1,0,2
7,410,30,2,2,1,1,0,2
7,410,60,1,1,1,1,0,2
7,409,0,3,2,2,1,0,2
7,409,30,1,2,2,1,0,2
7,409,60,1,1,1,1,0,2
7,408,0,1,1,3,2,0,2
7,408,30,1,1,3,2,0,2
7,408,60,1,1,3,2,0,2
7,407,0,1,1,1,1,0,2
7,407,30,1,1,1,1,0,2
7,407,60,1,1,1,1,0,2
7,406,0,3,1,1,1,0,2
7,406,30,2,1,1,1,0,2
7,406,60,1,1,1,1,0,2
7,405,0,2,1,3,1,0,1
7,405,30,1,1,1,1,0,2
7,405,60,1,1,1,1,0,2
7,404,0,5,2,3,3,0,2
7,404,30,4,2,3,1,0,2
7,404,60,4,1,2,1,0,2
7,403,0,4,2,5,4,0,2
7,403,30,4,1,4,3,0,2
7,403,60,3,1,4,3,0,2
7,402,0,4,2,4,3,0,2
7,402,30,4,1,3,3,0,2
7,402,60,4,1,3,2,0,2
7,401,0,3,1,4,3,0,2
7,401,30,3,1,3,1,0,2
7,401,60,3,1,3,1,0,2
7,301,0,3,2,3,3,0,2
7,301,30,3,1,2,3,0,2
7,301,60,2,1,2,2,0,2
7,302,0,3,1,4,3,0,2
7,302,30,3,1,4,3,0,2
7,302,60,2,1,4,2,0,2
7,303,0,4,2,4,4,0,2
7,303,30,3,1,3,3,0,2
7,303,60,3,1,3,3,0,2
7,304,0,5,3,4,3,0,2
7,304,30,4,2,2,2,0,2
7,304,60,4,2,1,1,0,2
7,305,0,2,2,3,2,0,2
7,305,30,1,2,3,1,0,0
7,305,60,1,1,1,1,0,2
7,306,0,3,1,1,2,0,2
7,306,30,3,1,1,1,0,2
7,306,60,1,1,1,1,0,2
7,307,0,1,1,2,1,0,2
7,307,30,1,1,1,1,0,2
7,307,60,1,1,1,1,0,2
7,308,0,2,1,5,4,0,2
7,308,30,1,1,4,4,0,2
7,308,60,1,1,4,3,0,2
7,309,0,3,1,2,1,0,2
7,309,30,2,1,1,1,0,2
7,309,60,1,1,1,1,0,2
7,310,0,1,1,1,1,0,2
7,310,30,1,1,1,1,0,0
7,310,60,1,1,1,1,0,2
7,311,0,1,1,1,1,0,2
7,311,30,1,1,1,1,0,0
7,311,60,1,1,1,1,0,0
