subject_no,tooth_ID,day,rostral,buccal,distal,palatal,gingivial_recession,bleeding_assessment
8,110,0,2,2,2,1,0,2
8,110,30,2,1,2,1,0,2
8,110,60,1,1,1,1,0,2
8,109,0,1,2,2,2,0,2
8,109,30,1,2,2,1,0,2
8,109,60,1,1,2,1,0,2
8,108,0,4,2,1,4,1,2
8,108,30,4,2,1,4,1,2
8,108,60,3,1,1,4,1,2
8,107,0,4,3,4,4,1,2
8,107,30,4,2,3,4,1,2
8,107,60,4,2,3,4,1,2
8,106,0,4,3,3,5,1,2
8,106,30,4,3,3,5,1,2
8,106,60,4,1,2,4,1,2
8,105,0,3,1,3,2,0,2
8,105,30,3,1,3,2,0,2
8,105,60,3,1,3,2,0,2
8,104,0,3,3,3,2,0,2
8,104,30,3,2,3,2,0,2
8,104,60,1,1,1,2,0,1
8,103,0,1,1,1,1,0,2
8,103,30,1,1,1,1,0,2
8,103,60,1,1,1,1,0,2
8,102,0,2,1,2,1,0,2
8,102,30,2,1,2,1,0,2
8,102,60,1,1,1,1,0,2
8,101,0,2,1,1,2,0,2
8,101,30,2,1,1,2,0,2
8,101,60,1,1,1,2,0,2
8,201,0,2,3,1,3,0,2
8,201,30,2,1,1,3,0,2
8,201,60,1,1,1,2,0,2
8,202,0,3,1,2,2,0,2
8,202,30,3,1,2,1,0,2
8,202,60,1,1,1,1,0,2
8,203,0,1,1,1,2,0,2
8,203,30,1,1,1,1,0,2
8,203,60,1,1,1,1,0,2
8,204,0,3,3,3,2,0,2
8,204,30,3,3,3,2,0,2
8,204,60,2,2,3,2,0,2
8,205,0,1,1,2,1,0,2
8,205,30,1,1,1,1,0,2
8,205,60,1,1,2,1,0,2
8,206,0,2,1,4,3,0,2
8,206,30,1,1,3,3,0,2
8,206,60,1,1,3,1,0,2
8,207,0,6,3,4,5,2,2
8,207,30,6,3,2,4,2,2
8,207,60,6,2,2,1,2,2
8,208,0,6,3,1,7,1,2
8,208,30,5,2,2,7,1,2
8,208,60,5,1,2,6,1,2
8,209,0,1,2,2,3,0,2
8,209,30,1,2,1,1,0,2
8,209,60,2,2,2,1,0,2
8,210,30,5,1,1,1,0,2
8,210,60,5,2,2,1,0,2
8,411,0,2,3,2,2,0,2
8,411,30,2,2,2,2,0,2
8,411,60,1,2,2,2,0,2
8,410,0,7,6,7,6,1,2
8,410,30,6,5,7,5,1,2
8,410,60,5,6,6,5,0,2
8,409,0,1,3,3,2,0,2
8,409,30,1,2,3,1,0,2
8,409,60,1,2,2,1,0,2
8,408,0,1,1,5,5,0,2
8,408,30,1,1,5,4,0,2
8,408,60,1,1,4,4,0,2
8,407,0,1,1,3,1,0,2
8,407,30,1,1,3,1,0,2
8,407,60,1,1,3,1,0,2
8,406,0,1,1,4,3,0,2
8,406,30,1,1,3,3,0,2
8,406,60,1,1,3,3,0,2
8,405,0,1,1,1,1,0,1
8,405,30,1,1,1,1,0,0
8,405,60,1,1,1,1,0,1
8,404,0,3,3,3,2,0,2
8,404,30,3,2,3,2,0,0
8,404,60,3,1,2,1,0,2
8,403,0,3,1,3,1,0,2
8,403,30,3,1,2,1,0,2
8,403,60,3,1,1,1,0,2
8,402,0,4,3,4,2,0,2
8,402,30,3,3,4,2,0,2
8,402,60,3,1,3,2,0,2
8,401,0,3,1,2,4,0,2
8,401,30,2,1,2,4,0,2
8,401,60,2,1,1,2,0,0
8,301,0,4,1,3,2,0,2
8,301,30,4,1,3,2,0,0
8,301,60,3,1,3,1,0,0
8,302,0,3,1,3,1,0,2
8,302,30,3,1,3,1,0,2
8,302,60,2,1,2,1,0,2
8,303,0,2,2,4,1,0,2
8,303,30,3,2,4,2,0,2
8,303,60,1,1,2,1,0,2
8,304,0,4,3,3,1,0,2
8,304,30,3,3,3,2,0,2
8,304,60,3,3,3,2,0,0
8,305,0,1,1,1,1,0,2
8,305,30,1,1,1,1,0,2
8,305,60,1,1,1,1,0,1
8,306,0,1,1,1,1,0,2
8,306,30,1,1,1,1,0,2
8,306,60,1,1,1,1,0,1
8,307,0,1,1,1,1,0,2
8,307,30,1,1,1,1,0,2
8,307,60,1,1,1,1,0,2
8,308,0,1,1,6,9,2,2
8,308,30,1,1,6,6,2,2
8,308,60,1,1,5,6,2,2
8,309,0,3,1,2,1,0,2
8,309,30,3,1,2,1,0,2
8,309,60,3,1,1,1,0,2
8,310,0,3,1,1,1,0,2
8,310,30,2,1,1,1,0,2
8,310,60,1,1,1,1,0,2
8,311,0,1,1,1,1,0,2
8,311,30,1,1,1,1,0,2
8,311,60,1,1,1,1,0,1
