Subject No,Tooth ID,Day,Rostral ,Buccal ,Distal,Palatal,Gingivial Recession,Bleeding Assessment,Comments
F,110,0,2,2,2,2,0,2,
F,110,30,1,1,1,1,0,2,
F,110,60,2,2,2,1,0,2,
F,110,90,,,,,,,
F,110,120,,,,,,,
F,110,150,,,,,,,
F,109,0,1,2,2,2,0,2,
F,109,30,2,3,3,1,0,2,
F,109,60,2,1,1,1,0,2,
F,109,90,,,,,,,
F,109,120,,,,,,,
F,109,150,,,,,,,
F,108,0,2,3,2,1,0,2,
F,108,30,3,1,1,1,0,2,
F,108,60,1,1,1,1,0,2,
F,108,90,,,,,,,
F,108,120,,,,,,,
F,108,150,,,,,,,
F,107,0,3,1,3,2,0,2,
F,107,30,3,1,1,2,0,2,
F,107,60,1,1,1,1,0,2,
F,107,90,,,,,,,
F,107,120,,,,,,,
F,107,150,,,,,,,
F,106,0,2,1,3,3,0,2,
F,106,30,1,1,2,2,0,2,
F,106,60,1,1,2,2,0,2,
F,106,90,,,,,,,
F,106,120,,,,,,,
F,106,150,,,,,,,
F,105,0,2,1,2,1,0,2,
F,105,30,2,1,2,1,0,2,
F,105,60,2,1,2,1,0,2,
F,105,90,,,,,,,
F,105,120,,,,,,,
F,105,150,,,,,,,
F,104,0,4,4,4,4,0,2,
F,104,30,4,3,4,4,0,2,
F,104,60,4,3,4,4,0,2,
F,104,90,,,,,,,
F,104,120,,,,,,,
F,104,150,,,,,,,
F,103,0,3,2,2,3,0,2,
F,103,30,3,1,1,1,0,2,
F,103,60,3,1,1,1,0,2,
F,103,90,,,,,,,
F,103,120,,,,,,,
F,103,150,,,,,,,
F,102,0,4,1,3,2,0,1,
F,102,30,2,1,2,1,0,2,
F,102,60,2,1,1,1,0,2,
F,102,90,,,,,,,
F,102,120,,,,,,,
F,102,150,,,,,,,
F,101,0,3,1,2,1,0,2,
F,101,30,2,1,2,1,0,2,
F,101,60,1,1,2,1,0,2,
F,101,90,,,,,,,
F,101,120,,,,,,,
F,101,150,,,,,,,
F,201,0,4,2,2,1,0,2,
F,201,30,3,2,2,1,0,2,
F,201,60,1,1,1,1,0,2,
F,201,90,,,,,,,
F,201,120,,,,,,,
F,201,150,,,,,,,
F,202,0,4,1,3,2,0,2,
F,202,30,3,1,2,1,0,2,
F,202,60,1,1,1,1,0,2,
F,202,90,,,,,,,
F,202,120,,,,,,,
F,202,150,,,,,,,
F,203,0,4,1,1,3,0,2,
F,203,30,4,1,1,2,0,2,
F,203,60,1,1,1,1,0,2,
F,203,90,,,,,,,
F,203,120,,,,,,,
F,203,150,,,,,,,
F,204,0,4,3,4,4,0,2,
F,204,30,4,3,4,4,0,2,
F,204,60,4,3,4,3,0,2,
F,204,90,,,,,,,
F,204,120,,,,,,,
F,204,150,,,,,,,
F,205,0,3,2,2,3,0,2,
F,205,30,2,1,1,2,0,2,
F,205,60,2,1,2,1,0,2,
F,205,90,,,,,,,
F,205,120,,,,,,,
F,205,150,,,,,,,
F,206,0,3,3,1,2,0,2,-
F,206,30,2,1,1,3,0,2,-
F,206,60,1,1,1,3,0,2,M3 Furcation
F,206,90,,,,,,,
F,206,120,,,,,,,
F,206,150,,,,,,,
F,207,0,3,1,3,2,0,2,
F,207,30,3,1,3,2,0,2,
F,207,60,3,1,3,2,0,2,
F,207,90,,,,,,,
F,207,120,,,,,,,
F,207,150,,,,,,,
F,208,0,3,2,2,3,0,2,
F,208,30,3,3,1,2,0,2,
F,208,60,3,3,2,2,0,2,
F,208,90,,,,,,,
F,208,120,,,,,,,
F,208,150,,,,,,,
F,209,0,2,3,3,3,0,2,
F,209,30,2,2,2,3,0,2,
F,209,60,2,2,2,1,0,2,
F,209,90,,,,,,,
F,209,120,,,,,,,
F,209,150,,,,,,,
F,210,0,3,3,3,3,0,2,
F,210,30,2,2,2,2,0,2,
F,210,60,1,1,1,1,0,2,
F,210,90,,,,,,,
F,210,120,,,,,,,
F,210,150,,,,,,,
F,411,0,3,2,2,2,0,1,
F,411,30,2,2,2,2,0,2,
F,411,60,2,2,2,2,0,2,
F,411,90,,,,,,,
F,411,120,,,,,,,
F,411,150,,,,,,,
F,410,0,2,2,3,1,0,2,
F,410,30,3,2,2,1,0,2,
F,410,60,2,2,2,2,0,2,
F,410,90,,,,,,,
F,410,120,,,,,,,
F,410,150,,,,,,,
F,409,0,3,1,3,1,0,2,
F,409,30,1,1,3,1,0,2,
F,409,60,1,1,2,1,0,2,
F,409,90,,,,,,,
F,409,120,,,,,,,
F,409,150,,,,,,,
F,408,0,2,1,5,4,0,2,
F,408,30,1,1,4,4,0,2,
F,408,60,1,1,4,3,0,2,
F,408,90,,,,,,,
F,408,120,,,,,,,
F,408,150,,,,,,,
F,407,0,2,1,3,1,0,2,
F,407,30,2,1,2,1,0,1,
F,407,60,1,1,1,1,0,2,
F,407,90,,,,,,,
F,407,120,,,,,,,
F,407,150,,,,,,,
F,406,0,3,1,2,1,0,2,
F,406,30,1,1,1,1,0,2,
F,406,60,1,1,1,1,0,2,
F,406,90,,,,,,,
F,406,120,,,,,,,
F,406,150,,,,,,,
F,405,0,3,1,2,3,0,2,
F,405,30,2,1,1,3,0,2,
F,405,60,1,1,1,1,0,2,
F,405,90,,,,,,,
F,405,120,,,,,,,
F,405,150,,,,,,,
F,404,0,3,3,4,2,0,2,
F,404,30,3,2,3,2,0,2,
F,404,60,2,1,1,1,0,2,
F,404,90,,,,,,,
F,404,120,,,,,,,
F,404,150,,,,,,,
F,403,0,4,1,3,3,0,2,
F,403,30,4,1,3,3,0,2,
F,403,60,2,1,1,2,0,2,
F,403,90,,,,,,,
F,403,120,,,,,,,
F,403,150,,,,,,,
F,402,0,4,1,3,2,0,2,
F,402,30,4,1,2,1,0,2,
F,402,60,3,1,2,1,0,2,
F,402,90,,,,,,,
F,402,120,,,,,,,
F,402,150,,,,,,,
F,401,0,3,1,4,3,0,2,
F,401,30,3,1,4,3,0,0,
F,401,60,1,1,1,3,0,2,
F,401,90,,,,,,,
F,401,120,,,,,,,
F,401,150,,,,,,,
F,301,0,2,1,3,1,0,2,
F,301,30,2,1,3,3,0,0,
F,301,60,1,1,2,2,0,0,
F,301,90,,,,,,,
F,301,120,,,,,,,
F,301,150,,,,,,,
F,302,0,3,1,3,1,0,2,
F,302,30,3,1,3,1,0,2,
F,302,60,1,1,2,1,0,2,
F,302,90,,,,,,,
F,302,120,,,,,,,
F,302,150,,,,,,,
F,303,0,3,2,4,2,0,2,
F,303,30,1,1,3,2,0,2,
F,303,60,2,1,2,2,0,2,
F,303,90,,,,,,,
F,303,120,,,,,,,
F,303,150,,,,,,,
F,304,0,4,3,4,4,0,2,
F,304,30,4,3,4,2,0,2,
F,304,60,3,2,3,2,0,2,
F,304,90,,,,,,,
F,304,120,,,,,,,
F,304,150,,,,,,,
F,305,0,3,1,3,3,0,2,
F,305,30,2,1,2,2,0,2,
F,305,60,2,1,1,1,0,2,
F,305,90,,,,,,,
F,305,120,,,,,,,
F,305,150,,,,,,,
F,306,0,3,1,2,1,0,2,
F,306,30,3,1,1,1,0,2,
F,306,60,2,1,1,1,0,2,
F,306,90,,,,,,,
F,306,120,,,,,,,
F,306,150,,,,,,,
F,307,0,1,1,2,2,0,2,
F,307,30,1,1,2,2,0,2,
F,307,60,1,1,1,1,0,2,
F,307,90,,,,,,,
F,37,120,,,,,,,
F,307,150,,,,,,,
F,308,0,2,1,4,3,0,2,
F,308,30,1,1,3,3,0,2,
F,308,60,1,1,2,3,0,2,
F,308,90,,,,,,,
F,308,120,,,,,,,
F,308,150,,,,,,,
F,309,0,2,1,2,1,0,2,
F,309,30,1,1,2,1,0,2,
F,309,60,1,1,1,1,0,2,
F,309,90,,,,,,,
F,309,120,,,,,,,
F,309,150,,,,,,,
F,310,0,1,1,3,1,0,2,
F,310,30,1,1,3,1,0,2,
F,310,60,1,1,2,1,0,2,
F,310,90,,,,,,,
F,310,120,,,,,,,
F,310,150,,,,,,,
F,311,0,2,1,1,1,0,2,
F,311,30,1,1,1,1,0,2,
F,311,60,1,1,1,1,0,2,
F,311,90,,,,,,,
F,311,120,,,,,,,
F,311,150,,,,,,,
